Accra.KIA,Akatsi,Akim.Oda,Akuse,Asamankese,Axim,Babile,Begoro,Bole,Dodoma,GilgilKwetu,Ho,Kigoma,Koforidua,Kumasi,Lake Manyara,Mbeya,Mtwara,Musoma,Nsawam,Pokuase,Same,Songea,Takoradi,Tamale,Tema,Wenchi,Yendi,date
9.2,32.8,15.6,26.200000000000003,6.699999999999999,89.3,0.0,14.0,0.0,73.8,19.0,62.5,69.1,37.2,10.0,53.8,133.0,213.20000000000002,45.5,107.0,60.5,35.2,138.2,164.7,0.0,90.10000000000001,54.5,9.1,1988-02
79.6,53.1,204.5,49.2,9.3,187.4,9.4,88.2,36.0,196.2,34.9,187.8,138.3,99.1,309.5,128.3,324.59999999999997,140.4,119.6,83.6,49.7,87.9,129.0,66.5,43.5,52.2,179.8,7.0,1988-03
50.8,31.900000000000002,88.1,145.4,14.6,318.0,35.3,110.7,77.1,5.5,253.6,174.1,219.9,301.8,135.7,178.5,59.8,111.7,301.1,96.5,60.599999999999994,119.39999999999999,42.6,55.4,88.1,77.3,96.6,53.300000000000004,1988-04
241.8,145.4,210.7,145.3,19.3,237.39999999999998,57.6,80.9,163.9,0.0,76.5,148.6,19.3,167.1,130.3,2.7,0.0,112.7,206.3,123.80000000000001,152.8,5.5,1.1,131.9,72.69999999999999,99.4,107.4,120.8,1988-05
254.9,80.5,268.7,174.3,282.3,344.9,138.0,243.0,295.5,0.6,164.6,223.1,4.4,199.2,341.7,18.6,0.0,31.3,19.8,265.6,277.7,8.5,0.0,225.8,183.5,172.20000000000002,155.7,162.8,1988-06
97.7,3.8,115.6,57.8,46.699999999999996,38.9,187.0,319.2,83.7,0.0,135.8,134.7,3.3,88.1,138.79999999999998,0.8,0.0,32.4,54.9,132.1,146.0,1.0,0.0,82.1,329.3,44.8,166.5,145.6,1988-07
12.0,32.8,31.4,54.6,32.6,12.5,261.7,83.1,95.7,0.0,162.1,40.3,18.7,44.800000000000004,15.0,9.7,0.2,0.0,34.0,57.6,17.7,5.5,0.0,9.9,213.1,1.8,77.7,247.60000000000002,1988-08
31.4,35.49,0.0,122.1,144.5,210.60000000000002,210.8,378.3,151.3,0.0,93.5,166.3,24.0,176.2,185.5,10.1,0.0,2.4,80.6,103.4,79.8,46.7,0.0,212.1,139.3,72.89999999999999,225.2,192.9,1988-09
130.3,28.11,279.9,123.0,312.8,130.29999999999998,14.3,121.0,71.39999999999999,0.0,99.9,83.6,100.6,124.5,136.4,14.9,11.5,1.3,55.2,206.70000000000002,76.3,12.6,1.6,64.0,23.5,52.4,121.2,107.60000000000001,1988-10
53.7,21.96,76.5,64.6,147.9,101.3,0.0,21.9,12.8,0.0,105.7,44.7,136.3,117.9,38.599999999999994,31.400000000000002,71.3,0.2,100.5,103.5,248.0,26.700000000000003,42.9,15.9,27.400000000000002,1.1,14.6,3.9,1988-11
27.5,14.040000000000001,44.699999999999996,44.7,69.8,104.8,0.0,0.0,1.3,117.10000000000001,32.2,80.1,181.4,20.4,78.9,116.80000000000001,200.7,2.3000000000000003,143.0,61.5,19.299999999999997,88.0,133.4,32.4,0.0,65.8,0.0,0.2,1988-12
0.0,1.28,0.0,0.0,0.0,2.0,0.0,0.0,0.0,170.1,60.300000000000004,0.0,164.1,0.0,53.7,176.6,216.1,12.5,45.0,3.1,8.4,84.0,389.3,0.0,0.0,0.0,0.0,0.1,1989-01
4.1,14.1,27.4,0.0,16.5,14.299999999999999,0.0,2.6,0.0,107.1,57.4,5.8,139.1,39.3,2.3,65.5,100.0,67.5,67.0,1.5,11.8,0.0,138.1,0.5,0.0,0.0,0.0,0.0,1989-02
39.3,43.8,111.2,102.0,149.20000000000002,92.5,47.0,183.0,34.0,149.9,55.2,215.8,155.3,151.1,112.6,183.8,230.4,177.4,129.8,156.4,11.6,27.7,368.59999999999997,39.1,60.1,17.3,166.7,201.39999999999998,1989-03
132.9,74.3,54.0,116.1,141.0,136.3,65.4,19.6,53.2,121.8,128.5,115.39999999999999,152.5,82.3,77.2,265.7,183.5,185.9,100.7,129.3,55.5,300.2,168.6,141.6,41.2,142.2,159.0,13.899999999999999,1989-04
109.6,138.9,55.3,143.5,126.7,274.3,55.9,92.7,108.19999999999999,1.0,101.5,150.7,53.1,142.9,126.2,93.8,41.300000000000004,147.7,105.7,129.6,157.9,22.3,19.1,106.1,80.3,93.4,158.20000000000002,85.0,1989-05
